id,title,author,book_category_id,created_at,updated_at,slug,isbn,subtitle,subjects,cover_photo_url
1941,Find Your Dream Job,Sarah Wade,9,31/05/2013 10:12,17/08/2013 08:39,find-your-dream-job,1905736479,,,
1917,The Solutions Focus," Paul Z. Jackson,  Mark McKergow",8,24/04/2013 16:11,12/08/2013 21:46,the-solutions-focus,1904838065,Making Coaching and Change Simple,"Business strategy, Organizational theory & behaviour, Business & Economics, Business / Economics / Finance, Business/Economics, Human Resources & Personnel Management, Management - General, Training",http://covers.openlibrary.org/b/id/2111834-M.jpg
1914,Beginning ASP.NET 2.0,"Chris Hart, John Kauffman, David Sussman, Chris Ullman",4,11/04/2013 13:35,17/08/2013 09:38,beginning-asp-net-2-0,764588508,,"Active server pages, Web sites -- Design, Web site development, Microsoft .NET",http://covers.openlibrary.org/b/id/523098-M.jpg
1902,Professional ASP.NET MVC 2,"Jon Galloway, Phil Haack, Scott Hanselman, Scott Gutherie, Rob Conery",1,15/01/2013 11:59,18/08/2013 11:31,professional-asp-net-mvc-2,470643188,,,
1894,JavaScript Design Patterns,Addy Osmani,2,19/12/2012 11:46,14/08/2013 17:21,javascript-design-patterns,978-1449331818,,,
1903,Spring recipes, Gary Mak,4,15/01/2013 12:18,17/08/2013 10:02,spring-recipes,1590599799,a problem-solution approach,"Java (Computer program language), Application software -- Development., Web site development.",http://covers.openlibrary.org/b/id/5194925-M.jpg
1900,"Agile Principles, Patterns, and Practices in C# (Robert C. Martin Series)"," Robert C. Martin,  Micah Martin",4,15/01/2013 11:26,17/08/2013 09:40,agile-principles-patterns-and-practices-in-c-robert-c-martin-series,131857258,,"C & Visual C, Development, Computer software, Computers, Computers - Languages / Programming, Textbooks, Programming Languages - Visual BASIC, Computer Books: Languages, Programming Languages - C#, Object-oriented programming (Computer science), Programming - Software Development, Computers / Programming / Software Development, C# (Computer program language)",http://covers.openlibrary.org/b/id/88620-M.jpg
1915,"Agile Principles, Patterns, and Practices in C# (Robert C. Martin Series)"," Robert C. Martin,  Micah Martin",4,11/04/2013 13:39,17/08/2013 09:40,agile-principles-patterns-and-practices-in-c-robert-c-martin-series--2,131857258,,"C & Visual C, Development, Computer software, Computers, Computers - Languages / Programming, Textbooks, Programming Languages - Visual BASIC, Computer Books: Languages, Programming Languages - C#, Object-oriented programming (Computer science), Programming - Software Development, Computers / Programming / Software Development, C# (Computer program language)",http://covers.openlibrary.org/b/id/88620-M.jpg
1958,Flex 4 Cookbook,"Joshua Noble, Todd Anderson, Garth Braithwaite, Marco Casario, Rich Tretola ",5,06/08/2013 16:29,15/08/2013 07:51,flex-4-cookbook,978-0596805616,,,
1982,Akka Concurrency,Derek Wyatt,4,18/12/2013 11:53,27/01/2014 11:28,akka-concurrency,981531660,Building reliable software in a mutli-core world,,
1398,Self Leadership and the One Minute Manag, Ken Blanchard,8,NULL,12/08/2013 21:58,self-leadership-and-the-one-minute-manag,7208103,,,http://covers.openlibrary.org/b/id/1060201-M.jpg
1504,On the Shortness of Life, Seneca the Younger,9,NULL,17/08/2013 09:02,on-the-shortness-of-life,014101881X,,,http://covers.openlibrary.org/b/id/107192-M.jpg
1503,On Friendship, Michel de Montaigne,9,NULL,17/08/2013 09:02,on-friendship,141018860,,,http://covers.openlibrary.org/b/id/107197-M.jpg
1509,Why I Am So Wise (Penguin Great Ideas), Friedrich Nietzsche,9,NULL,17/08/2013 08:52,why-i-am-so-wise-penguin-great-ideas,141018976,,,http://covers.openlibrary.org/b/id/107208-M.jpg
1404,The New Manager's Handbook (The Mcgraw-Hill Professional Education Series), Morey Stettner,8,NULL,12/08/2013 21:49,the-new-manager-s-handbook-the-mcgraw-hill-professional-education-series,71413340,,"Management & management techniques, Management, Business & Economics, Business / Economics / Finance, Business/Economics, Management - General, Business & Economics / Management, Personnel management",http://covers.openlibrary.org/b/id/1078494-M.jpg
1653,Microsoft(r) SQL Server(tm) 2005 Developer's Guide," Michael Otey,  Denielle Otey",1,NULL,18/08/2013 11:46,microsoft-r-sql-server-tm-2005-developer-s-guide,72260998,,"Database software, SQL, Computers - Languages / Programming, Computers, Computer Books: Languages, Programming Languages - SQL, Computers / Programming Languages / SQL",http://covers.openlibrary.org/b/id/1082478-M.jpg
1323,"Core Java(TM), Volume I--Fundamentals (8th Edition)"," Cay S. Horstmann,  Gary Cornell",2,NULL,12/08/2013 21:05,core-java-tm-volume-i-fundamentals-8th-edition,132354764,,"Java & variants, Computers, Computers - Languages / Programming, Computer Books: Languages, Programming Languages - Java, Computers / Programming Languages / Java, Java (Computer program language)",http://covers.openlibrary.org/b/id/1112235-M.jpg
1329,Effective Java(TM) Programming Language Guide (2nd Edition) (The Java Series), Joshua Bloch,2,NULL,12/08/2013 21:07,effective-java-tm-programming-language-guide-2nd-edition-the-java-series,321356683,,"Java & variants, Computers, Computers - Languages / Programming, Computer Books: Languages, Programming Languages - Java, Computers / Programming Languages / Java",http://covers.openlibrary.org/b/id/1176573-M.jpg
1904,"Practice of System and Network Administration, The (2nd Edition)"," Thomas A. Limoncelli,  Christina J. Hogan,  Strata R. Chalup",9,13/02/2013 11:22,17/08/2013 08:53,practice-of-system-and-network-administration-the-2nd-edition,321492668,,"Computer Communications & Networking, Computer Network Management, Computers, Computers - Communications / Networking, Computer Books: General, Networking - General, Computers / Networking / General, Computer networks, Computer systems, Management",http://covers.openlibrary.org/b/id/1176981-M.jpg
1283,Eyetracking Web Usability (Voices That Matter)," Jakob Nielsen,  Kara Pernice",5,NULL,15/08/2013 07:49,eyetracking-web-usability-voices-that-matter,321498364,,"Applications of Computing, World Wide Web (WWW), Computers, Computer - Internet, Computer Books: Web Publishing, Internet - World Wide Web, Computers / Internet / World Wide Web, Internet - Web Site Design",http://covers.openlibrary.org/b/id/1176996-M.jpg
1669,Professional ASP.NET 2.0 Special Edition (Wrox Professional Guides)," Bill Evjen,  Scott Hanselman,  Devin Rader,  Farhan Muhammad,  Srinivasa Sivakumar",1,NULL,18/08/2013 11:33,professional-asp-net-2-0-special-edition-wrox-professional-guides,470041781,,,http://covers.openlibrary.org/b/id/1238572-M.jpg
1761,Professional ASP.NET 2.0 Special Edition (Wrox Professional Guides)," Bill Evjen,  Scott Hanselman,  Devin Rader,  Farhan Muhammad,  Srinivasa Sivakumar",1,NULL,18/08/2013 11:34,professional-asp-net-2-0-special-edition-wrox-professional-guides--2,470041781,,,http://covers.openlibrary.org/b/id/1238572-M.jpg
1671,Professional BizTalk Server 2006," Darren Jefford,  Kevin B. Smith,  Ewan Fairweather",1,NULL,18/08/2013 11:29,professional-biztalk-server-2006--2,470046422,,,http://covers.openlibrary.org/b/id/1238689-M.jpg
1672,Professional BizTalk Server 2006," Darren Jefford,  Kevin B. Smith,  Ewan Fairweather",1,NULL,18/08/2013 11:28,professional-biztalk-server-2006,470046422,,,http://covers.openlibrary.org/b/id/1238689-M.jpg
1396,Programming Interviews Exposed," John Mongan,  Noah Suojanen,  Eric Giguère",8,NULL,12/08/2013 22:01,programming-interviews-exposed,047012167X,Secrets to Landing Your Next Job (Programmer to Programmer),,http://covers.openlibrary.org/b/id/1239724-M.jpg
1606,Beginning SharePoint 2007," Amanda Murphy,  Shane Perran",1,NULL,18/08/2013 10:33,beginning-sharepoint-2007,470124490,Building Team Solutions with MOSS 2007 (Programmer to Programmer),,http://covers.openlibrary.org/b/id/1239748-M.jpg
1527,Professional XML (Programmer to Programmer)," Bill Evjen,  Kent Sharkey,  Thiru Thangarathinam,  Michael Kay,  Alessandro Vernet,  Sam Ferguson",4,NULL,17/08/2013 09:11,professional-xml-programmer-to-programmer,471777773,,,http://covers.openlibrary.org/b/id/1250825-M.jpg
1486,Acol Bridge for Bright Beginners (Master Bridge Series)," Hugh Kelsey,  Andrew Kambites",9,NULL,12/08/2013 21:27,acol-bridge-for-bright-beginners-master-bridge-series,057506174X,,"Bridge, Games / Gamebooks / Crosswords, Games, Games/Puzzles, Card Games - Bridge, CONTRACT BRIDGE, Games / Card Games / Bridge",http://covers.openlibrary.org/b/id/1286818-M.jpg
1793,Learning WCF, Michele Bustamante,1,26/03/2012 11:51,18/08/2013 10:47,learning-wcf,596101627,A Hands-on Guide,,http://covers.openlibrary.org/b/id/1312537-M.jpg
1307,Oracle PL/SQL Best Practices, Steven Feuerstein,3,NULL,12/08/2013 20:51,oracle-pl-sql-best-practices,596514107,,"Oracle, Database Engineering, Sql (Programming Language), Computers, Computers - Data Base Management, Computers - Languages / Programming, Computer Books: Database, Data Processing - General, Database Management - Database Mining, Database Management - O",http://covers.openlibrary.org/b/id/1312573-M.jpg
1543,The Ruby Programming Language," David Flanagan,  Yukihiro Matsumoto",4,NULL,17/08/2013 09:50,the-ruby-programming-language,596516177,,"Programming languages, Computers, Computers - Languages / Programming, Computer Books: Languages, Programming - Software Development, Programming Languages - General, Computers / Languages / Programming, Computers / Programming / Software Development, Computers / Programming Languages / General, Computers/Programming - Software Development",http://covers.openlibrary.org/b/id/1312587-M.jpg
1847,Essential ActionScript 3.0 (Essential), Colin Moock,4,24/05/2012 11:12,17/08/2013 09:27,essential-actionscript-3-0-essential,596526946,,,http://covers.openlibrary.org/b/id/1312594-M.jpg
1484,The Art of Agile Development," James Shore,  Shane Warden",7,NULL,15/08/2013 07:44,the-art-of-agile-development,596527675,,,http://covers.openlibrary.org/b/id/1312606-M.jpg
1635,Microsoft ISA Server 2000, Zubair Alexander,1,NULL,18/08/2013 10:51,microsoft-isa-server-2000,672321009,,"Computer Communications & Networking, Database software, Programming - General, Firewalls (Computer security), Security measures, Microcomputer Application Software, Computers, Computers - Computer Security, Microsoft ISA server, Computer Books: General, Hardware - Network Hardware, Client-Server Computing - General, Security - General, Computers / Client-Server Computing, Computer Networks, Hardware - Personal Computers - General, Computer security",http://covers.openlibrary.org/b/id/1335190-M.jpg
1646,Microsoft Exchange Server 2003 Unleashed, Rand Morimoto,1,NULL,18/08/2013 11:12,microsoft-exchange-server-2003-unleashed,672328070,,"Microsoft Windows, Networking packages, Microcomputer Communication Software, Electronic Mail, Computers, Computers - General Information, Computer Books: General, Client-Server Computing - General, Computers / Client-Server Computing, Data Transmission Systems - Electronic Mail, Microsoft Exchange server (Computer file)",http://covers.openlibrary.org/b/id/1335283-M.jpg
1660,Microsoft Exchange Server 2003 Unleashed, Rand Morimoto,1,NULL,18/08/2013 11:43,microsoft-exchange-server-2003-unleashed--2,672328070,,"Microsoft Windows, Networking packages, Microcomputer Communication Software, Electronic Mail, Computers, Computers - General Information, Computer Books: General, Client-Server Computing - General, Computers / Client-Server Computing, Data Transmission Systems - Electronic Mail, Microsoft Exchange server (Computer file)",http://covers.openlibrary.org/b/id/1335283-M.jpg
1768,Microsoft(R) SharePoint(R) 2007 Development Unleashed," Kevin Hoffman,  Robert Foster",1,NULL,18/08/2013 12:09,microsoft-r-sharepoint-r-2007-development-unleashed,672329034,,"Local area networks (LANs), Computers, Computers - Accounting Packages, Computer Books: General, Business Software - General, Computers / Business Software / General, Internet - Browsers, Networking - Intranets & Extranets, Intranets (Computer networks), Web servers",http://covers.openlibrary.org/b/id/1335302-M.jpg
1305,Handbook of relational database design, Candace C. Fleming,3,NULL,12/08/2013 20:48,handbook-of-relational-database-design,201114348,,"Database management., Relational databases., Database design.",http://covers.openlibrary.org/b/id/134103-M.jpg
1713,Inside Active Directory," Sakari Kouti,  Mika Seitsonen",1,NULL,18/08/2013 11:53,inside-active-directory,201616211,A System Administrator's Guide (Microsoft Windows Server System Series),,http://covers.openlibrary.org/b/id/135411-M.jpg
1576,The Pragmatic Programmer," Andrew Hunt,  David Thomas",4,NULL,17/08/2013 09:54,the-pragmatic-programmer,020161622X,From Journeyman to Master,,http://covers.openlibrary.org/b/id/135412-M.jpg
1876,Meetings That Work, Catherine Widdicombe,9,16/07/2012 11:05,17/08/2013 09:05,meetings-that-work,718830016,A Practical Guide to Teamworking in Groups,"Business communication & presentation, Business & Economics, Business / Economics / Finance, Business/Economics, Business Communication - Meetings & Presentations, Business & Economics / Business Communication / Meetings & Presentations, Business meetings, Church & Ministry/Church Life/Church Adminstration, Meetings, Planning, Teams in the workplace, Theometrics/Secular",http://covers.openlibrary.org/b/id/1355933-M.jpg
1446,Programming Pearls (2nd Edition), Jon Bentley,7,NULL,15/08/2013 07:46,programming-pearls-2nd-edition,201657880,,,http://covers.openlibrary.org/b/id/135673-M.jpg
1328,Designing Enterprise Applications with the Java(TM) 2 Platform (Enterprise Edition)," Nicholas Kassem,  Nick Kassem,  Enterprise Team",2,NULL,12/08/2013 21:06,designing-enterprise-applications-with-the-java-tm-2-platform-enterprise-edition,201702770,,,http://covers.openlibrary.org/b/id/135833-M.jpg
1598,Advanced Visual Basic 6, Matthew J. Curland,1,NULL,18/08/2013 10:38,advanced-visual-basic-6,201707128,Power Techniques for Everyday Programs (The DevelopMentor Series; Book Only),,http://covers.openlibrary.org/b/id/135892-M.jpg
1470,Metrics and Models in Software Quality Engineering (2nd Edition), Stephen H. Kan,7,NULL,15/08/2013 07:32,metrics-and-models-in-software-quality-engineering-2nd-edition,201729156,,,http://covers.openlibrary.org/b/id/136046-M.jpg
1716,Microsoft windows security resource kit, Ben Smith,1,NULL,18/08/2013 11:51,microsoft-windows-security-resource-kit,735621748,,"Microsoft Windows (Computer file), Computer security, Computer networks -- Security measures",http://covers.openlibrary.org/b/id/1363180-M.jpg
1517,Microsoft  Mobile Development Handbook," Andy Wigley,  Daniel Moth,  Peter Foot",6,NULL,17/08/2013 08:33,microsoft-mobile-development-handbook,735623589,,"Software engineering, Data Transmission Standards And Protocols, Computers, Computers - Languages / Programming, Computer Books: General, Programming - General, Computers / Programming / General, Networking - Network Protocols, Application software, Development, Mobile communication systems",http://covers.openlibrary.org/b/id/1363233-M.jpg
1934,How to break software, James A. Whittaker,7,02/05/2013 14:22,15/08/2013 07:16,how-to-break-software,201796198,an example-rich explanation of how to effectively test software that anyone can understand and use,Computer software -- Testing.,http://covers.openlibrary.org/b/id/136410-M.jpg
1403,The mythical man-month, Frederick P. Brooks,8,NULL,12/08/2013 21:50,the-mythical-man-month,201835959,essays on software engineering,Software engineering,http://covers.openlibrary.org/b/id/136451-M.jpg
1302,A guide to the SQL standard, C. J. Date,3,NULL,12/08/2013 20:44,a-guide-to-the-sql-standard,201964260,a user's guide to the standard database language SQL,"SQL (Computer program language), Query languages (computer science)",http://covers.openlibrary.org/b/id/136631-M.jpg
1389,How to Set Up and Run Your Own Business (Creating Success), Daily Telegraph,8,NULL,14/08/2013 17:55,how-to-set-up-and-run-your-own-business-creating-success,749433086,,Small businesses & self-employed,http://covers.openlibrary.org/b/id/1394374-M.jpg
1875,Sales Meetings That Work, Richard Cavalier,9,16/07/2012 11:02,17/08/2013 08:59,sales-meetings-that-work,075965736X,Planning & Managing Meetings to Achieve Your Goals,"Sales & marketing, Marketing - General, Business & Economics, Business / Economics / Finance, Business/Economics, Business & Economics / Marketing / General",http://covers.openlibrary.org/b/id/1419892-M.jpg
1929,Read This, Robert Gentle,9,25/04/2013 13:45,17/08/2013 08:59,read-this,273656503,Business Writing That Works,"Business communication & presentation, Business Communication - General, Business Communication - Meetings & Presentations, Business & Economics, Business/Economics",http://covers.openlibrary.org/b/id/154284-M.jpg
1361,Struts 2 Design and Programming,Budi. Kurniawan,2,NULL,12/08/2013 21:39,struts-2-design-and-programming,980331609,A Tutorial (A Tutorial series),"Internet languages, Programming languages, Computers, Computers - General Information, Computers - Languages / Programming, Computer Books: Web Programming, Client-Server Computing - General, Programming - General, Computers / Client-Server Computing, Int",http://covers.openlibrary.org/b/id/1726159-M.jpg
1440,Dreaming in Code, Scott Rosenberg,7,NULL,15/08/2013 07:08,dreaming-in-code,1400082471,"Two Dozen Programmers, Three Years, 4,732 Bugs, and One Quest for Transcendent Software","General, Programming - Software Development, Business & Economics / General, Programming - General, Business & Economics, Computers - Languages / Programming, Business/Economics",http://covers.openlibrary.org/b/id/1726318-M.jpg
1359,Starting Struts 2, Ian Roughley,2,NULL,12/08/2013 21:39,starting-struts-2,1430320338,,"General Theory of Computing, Computers, Computers - General Information, Computer Books: General, General, Computers / General, Machine Theory",http://covers.openlibrary.org/b/id/1855948-M.jpg
1445,Patterns of Enterprise Application Architecture, Martin Fowler,7,NULL,15/08/2013 07:32,patterns-of-enterprise-application-architecture,321127420,,"Computer Communications & Networking, Software engineering, Business Enterprise, Microcomputer Application Software, Computers, Computers - Languages / Programming, Computer Books: General, Computer Books: Languages, Programming - Object Oriented Programm",http://covers.openlibrary.org/b/id/192501-M.jpg
1862,.NET Patterns, Christian Thilmany,5,18/06/2012 15:45,17/08/2013 08:24,net-patterns,321130022,"Architecture, Design, and Process","Computer Software Packages, Databases & data structures, Software engineering, Microcomputer Application Software, Software Design, Computers, Computers - Languages / Programming, Computer Books: General, Data Processing - General, Programming - Object Oriented Programming, Computers / Programming / Object Oriented, Programming - General, Programming - Software Development, Design, Microsoft .NET, Web site development, Web sites",http://covers.openlibrary.org/b/id/192521-M.jpg
1411,Test Driven Development, Kent Beck,8,NULL,12/08/2013 21:54,test-driven-development,321146530,By Example (The Addison-Wesley Signature Series),"Software engineering, Software Development, Software Testing, Computers, Computers - Languages / Programming, Computer Books: General, Programming - Software Development, Computers / Programming / Software Development, Computer programming, Computer softw",http://covers.openlibrary.org/b/id/192577-M.jpg
1809,Lean Software Development," Mary Poppendieck,  Tom Poppendieck",8,13/04/2012 08:04,14/08/2013 17:58,lean-software-development,321150783,An Agile Toolkit for Software Development Managers,"Software engineering, Systems management, Software Development, Computers, Computers - Languages / Programming, Computer Books: General, Entrepreneurship, Programming - Software Development, Computers / Programming / Software Development",http://covers.openlibrary.org/b/id/192597-M.jpg
1810,The common language infrastructure annotated standard, James S. Miller,1,13/04/2012 08:05,18/08/2013 12:00,the-common-language-infrastructure-annotated-standard,321154932,,"Programming languages (Electronic computers), Microsoft .NET Framework",http://covers.openlibrary.org/b/id/192604-M.jpg
1828,PHP and MySQL for dynamic Web sites, Larry E. Ullman,3,09/05/2012 14:56,12/08/2013 20:53,php-and-mysql-for-dynamic-web-sites,321186486,,"MySQL (Electronic resource), PHP (Computer program language), Web sites -- Design.",http://covers.openlibrary.org/b/id/192821-M.jpg
1928,The non-designers design book,Robin Williams,5,25/04/2013 13:43,12/08/2013 20:35,the-non-designers-design-book,321193857,design and typographic principles for the visual novice,"Layout (Printing) -- Handbooks, manuals, etc, Graphic design (Typography), Graphic arts",http://covers.openlibrary.org/b/id/192856-M.jpg
